"","Parcel_Number","sale_price","Sale_Date","Land_Economic_Area","Land_Net_Acres","Appraisal_Date","Utility_Sewer","Utility_Water","Utility_Electric","View_Quality","Waterfront_Type","Crime_Num","withInSewerImprovement","near_firestation","near_healthcare","near_libraries","near_policestation","near_schools","near_waterplants","row_num"
"1796",317287002,216751,2018-05-23,"2001-06-01",1.16,2016-03-02,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,219,"N","N","N","N","N","N","N",1
"1797",317287027,398750,2018-03-20,"2001-06-01",1.2599,2016-10-03,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,219,"N","N","N","N","N","N","N",1
"1798",317287038,410000,2018-04-26,"2001-06-01",1.1199,2016-03-01,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,219,"N","N","N","N","N","N","N",1
"1799",317288010,89000,2018-10-18,"2001-06-01",4.67,2016-03-02,"SEWER/SEPTIC NO","WATER NO","POWER AVAILABLE",NA,NA,219,"N","N","N","N","N","N","N",1
"1800",317291009,185000,2018-05-25,"2001-06-13",14.32,2018-06-28,"SEWER/SEPTIC NO","WATER AVAILABLE","POWER AVAILABLE",NA,NA,219,"N","N","N","N","N","N","N",1
"1801",317311025,290393,2018-05-29,"2001-06-01",12.48,2016-04-21,"SEWER/SEPTIC NO","WATER NO","POWER AVAILABLE",NA,NA,219,"N","N","N","N","N","N","N",1
"1802",317311032,421000,2018-11-21,"2001-06-01",5,2016-04-21,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,219,"N","N","N","N","N","N","N",1
"1803",317313030,350000,2018-12-14,"2001-06-01",3.34,2016-05-23,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,219,"N","N","N","N","N","N","N",1
"1804",317314023,184000,2018-11-08,"2001-06-01",4.79,2016-05-17,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,219,"N","N","N","N","N","N","N",1
"1805",317317008,320000,2018-01-04,"2001-06-01",1.1199,2018-07-12,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,219,"N","N","N","N","N","N","N",1
"1806",317341010,575000,2018-09-06,"2001-06-01",19.98,2016-03-10,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED","View Avg",NA,219,"N","N","N","N","N","N","N",1
"1807",317344001,525000,2018-09-13,"2001-06-01",40,2016-03-10,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,219,"N","N","N","N","N","N","N",1
"1808",317354014,157000,2018-04-16,"2001-06-02",20,2016-04-28,"SEWER/SEPTIC NO","WATER NO","POWER AVAILABLE",NA,NA,219,"N","N","N","N","N","N","N",1
"1809",318013000,8525420,2018-12-10,NA,NA,NA,NA,NA,NA,NA,NA,1349,"N","N","N","N","N","Y","N",1
"1810",318021013,43938952,2018-11-06,NA,NA,NA,NA,NA,NA,NA,NA,1349,"N","N","N","N","N","N","N",1
"1811",318024006,43938952,2018-11-06,NA,NA,NA,NA,NA,NA,NA,NA,1349,"N","N","N","N","N","N","N",1
"1812",318024007,43938952,2018-11-06,NA,NA,NA,NA,NA,NA,NA,NA,1349,"N","Y","N","N","N","Y","N",1
