"","Parcel_Number","sale_price","Sale_Date","Land_Economic_Area","Land_Net_Acres","View_Quality","Waterfront_Type","Crime_Num","withInSewerImprovement","near_firestation","near_healthcare","near_libraries","near_policestation","near_schools","near_waterplants","square_feet","condition","quality","attic_finished_square_feet","basement_square_feet","basement_finished_square_feet","porch_square_feet","attached_garage_square_feet","detached_garage_square_feet","fireplaces","stories","bedrooms","bathrooms","year_built"
"11526",320213029,245000,2018-05-25,2018-01-22,0.1446,"0","0",943,"0","1","1","1","1","1","0",1285,"6","4","0","0","0","0","0","0",0,1,2,1,1985
"11527",320213048,242950,2018-10-09,2018-01-22,0.1584,"0","0",943,"0","1","1","1","1","1","0",1160,"6","4","0","0","0","1","0","0",0,1,2,1,1969
"11528",320213079,170000,2018-09-18,2018-01-22,0.1641,"0","0",943,"0","1","0","1","1","1","0",1805,"5","5","0","1","1","1","0","1",1,1,4,2,1976
"11529",320213080,3e+05,2018-02-20,2018-01-22,0.1584,"0","0",943,"0","1","1","1","1","1","0",1675,"6","4","0","0","0","0","0","0",1,1.5,5,2.75,1982
"11530",320213089,285000,2018-09-10,2018-01-22,0.1584,"0","0",943,"0","1","1","1","1","1","0",942,"6","4","0","1","1","0","0","1",1,1,2,1,1986
"11531",320213091,229500,2018-01-16,2018-01-22,0.2249,"0","0",943,"0","1","1","1","1","1","0",975,"6","4","0","1","1","1","1","0",1,1,3,1.75,1977
"11532",320218014,338450,2018-05-10,2018-01-23,0.1148,"0","0",943,"0","1","0","1","1","1","0",1760,"6","5","0","0","0","0","1","0",0,2,4,2.5,2017
"11533",320221008,193500,2018-07-16,2018-01-16,0.2011,"0","0",943,"0","0","1","0","1","1","0",1152,"1","3","0","0","0","0","0","0",0,1,2,1.5,1981
"11534",320222058,271000,2018-05-02,2018-01-16,0.1652,"0","0",943,"0","1","1","1","1","1","0",1724,"6","4","0","0","0","1","0","1",1,1,3,1.5,1988
"11535",320222104,48396,2018-10-04,2018-01-16,0.1645,"0","0",943,"0","1","1","0","1","1","0",1020,"1","3","0","0","0","0","1","0",1,1,3,1,1970
"11536",320226056,222000,2018-02-05,2018-01-16,0.191,"0","0",943,"0","1","1","1","1","1","0",1584,"6","3","0","0","0","1","0","0",0,1.5,3,1.75,1980
"11537",320231137,445000,2018-10-16,2009-01-15,2.5,"0","0",943,"0","0","0","0","0","1","0",2238,"6","5","0","0","0","1","1","0",1,2,3,2.5,2012
"11538",320233018,325123,2018-05-26,2009-01-15,0.8697,"0","0",943,"0","0","0","0","0","1","0",968,"6","5","1","0","0","1","0","1",0,1,2,1.5,2000
"11539",320238053,4e+05,2018-10-26,2009-01-15,0.7679,"0","0",943,"0","0","0","0","0","1","0",1296,"6","5","0","1","1","1","0","1",1,1,4,1.75,1981
"11540",320241021,455000,2018-10-23,2009-05-15,3.49,"0","0",943,"0","1","0","0","0","1","0",2094,"6","4","0","0","0","0","0","0",1,1,2,1.5,1977
"11541",320242011,450000,2018-04-24,2009-01-15,3.5,"0","0",943,"0","0","0","0","0","1","0",2215,"6","5","0","0","0","1","1","0",1,2,3,1.75,1985
"11542",320243031,299000,2018-05-23,2009-01-15,2,"0","0",943,"0","0","0","0","0","1","0",1936,"4","3","0","0","0","0","0","0",0,1.5,2,1.75,1975
"11543",320243054,303000,2018-09-06,2009-01-15,0.21,"0","0",943,"0","0","0","0","0","1","0",1048,"6","5","0","0","0","1","1","0",1,1,3,1,2010
"11544",320244146,250000,2018-08-15,2009-01-15,0.6,"0","0",943,"0","0","0","0","0","1","0",1488,"6","9","0","0","0","1","0","0",1,1,3,1.75,1986
"11545",320251036,233396,2018-09-21,2009-01-15,0.5123,"0","0",943,"0","1","0","0","0","0","0",4172,"6","4","0","0","0","0","0","0",1,2,4,3,1998
